,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
250,2001-01-02,8.6306,8.8022,8.5617,8.6675,239484
251,2001-01-03,8.6306,8.7697,8.219,8.3579,1234406
252,2001-01-04,8.5617,8.5617,8.219,8.2559,1131837
253,2001-01-05,8.1542,8.219,7.6726,7.7744,5658290
254,2001-01-08,7.705,7.7744,7.3623,7.5336,4218870
255,2001-01-09,7.6031,7.705,7.1956,7.705,3908249
256,2001-01-10,7.6402,7.6726,7.4317,7.5012,1437977
257,2001-01-11,7.5336,7.705,7.4317,7.6726,2334021
258,2001-01-12,7.7421,7.8113,7.6402,7.7421,2041738
259,2001-01-15,7.705,7.8439,7.5336,7.6031,1309971
260,2001-01-16,7.5336,7.7421,7.5012,7.6402,1161142
261,2001-01-17,7.705,7.8439,7.6402,7.7421,1063384
262,2001-01-18,7.7421,8.0846,7.7421,7.9457,3856162
263,2001-01-19,8.219,8.4273,8.1542,8.3579,2940506
264,2001-01-22,8.4273,8.4273,8.0846,8.1542,1183418
265,2001-01-23,8.0846,8.3255,8.0476,8.3255,851697
266,2001-01-24,8.3903,8.4273,8.2559,8.2559,462129
267,2001-01-25,8.2559,8.2884,8.1865,8.2559,559250
268,2001-01-26,8.1865,8.4597,8.1865,8.4597,1494685
269,2001-01-29,8.4965,8.7697,8.4273,8.7326,491275
270,2001-01-30,8.8392,8.9041,8.7326,8.7326,960793
271,2001-01-31,8.7,8.7,8.4965,8.5617,706627
272,2001-02-01,8.4965,8.5292,8.3579,8.4273,945451
273,2001-02-02,8.4597,8.5617,8.4273,8.5617,380179
274,2001-02-05,8.5292,8.5617,8.2884,8.4273,2361116
275,2001-02-06,8.5617,8.5617,8.2884,8.4965,1261360
276,2001-02-07,8.5292,8.5292,8.2559,8.2884,995971
277,2001-02-08,8.2559,8.3903,8.2559,8.2884,780485
278,2001-02-09,8.3255,8.3903,8.2884,8.2884,332414
279,2001-02-12,8.1172,8.219,8.0846,8.1865,453805
280,2001-02-13,8.1865,8.3903,8.1865,8.3255,548212
281,2001-02-14,8.219,8.3579,8.219,8.3579,361772
282,2001-02-15,8.3903,8.4597,8.2884,8.4273,1089257
283,2001-02-16,8.3903,8.5292,8.219,8.2884,746337
284,2001-02-19,8.219,8.3255,8.1865,8.2559,545285
285,2001-02-20,8.2884,8.5292,8.219,8.219,672407
286,2001-02-21,8.219,8.219,7.9828,8.219,952715
287,2001-02-22,7.9133,8.1542,7.7421,7.8764,1177352
288,2001-02-23,7.9133,8.1172,7.8764,7.8764,614394
289,2001-02-26,8.0846,8.1172,7.9828,8.0476,346381
290,2001-02-27,7.9457,8.0846,7.8113,7.8764,562556
291,2001-02-28,7.6726,7.9457,7.6726,7.9133,706627
292,2001-03-01,7.8439,7.8439,7.5336,7.5336,757320
293,2001-03-02,7.4689,7.6402,7.4689,7.5336,965761
294,2001-03-05,7.5708,7.6726,7.4689,7.6402,371442
295,2001-03-06,7.6726,7.8113,7.6726,7.705,506618
296,2001-03-07,7.5708,7.705,7.5012,7.6402,743148
297,2001-03-08,7.6726,7.6726,7.5708,7.5708,350589
298,2001-03-09,7.5708,7.5708,6.9873,6.9873,612450
299,2001-03-12,6.7975,6.816,6.3205,6.3899,2190006
300,2001-03-13,6.3020000000000005,6.6261,6.3020000000000005,6.5613,1321459
301,2001-03-14,6.6447,6.6816,6.3714,6.4919,1601843
302,2001-03-15,6.5428,6.7139999999999995,6.5428,6.6447,824579
303,2001-03-16,6.6447,6.8854,6.6261,6.8854,616634
304,2001-03-19,6.8854,7.1956,6.8854,7.1261,316888
305,2001-03-20,7.228,7.228,7.0892,7.1261,399784
306,2001-03-21,7.0566,7.1261,6.816,6.9178,1053497
307,2001-03-22,6.8531,6.9549,6.6447,6.6447,698886
308,2001-03-23,6.8854,6.8854,6.6816,6.7649,452191
309,2001-03-26,6.9178,7.0892,6.816,7.0243,800475
310,2001-03-27,7.0243,7.1585,6.8854,7.0892,399647
311,2001-03-28,7.1956,7.228,7.0892,7.1585,571609
312,2001-03-29,6.9178,7.1261,6.9178,7.0566,461752
313,2001-03-30,7.0243,7.0892,7.0243,7.0892,231745
