Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-01-02,51598.39,51598.39,51307.87,51378,19047698
2015-01-05,51309.21,51309.21,50516.71,50516.71,29630731
2015-01-07,50667.73,51481.52,50615.55,51350.42,42127890
2015-01-08,51558.05,52391,51558.05,52391,50575487
2015-01-09,52380.4,52393.37,51970.54,52065.88,38862111
2015-01-12,52057.14,52217.15,51666.75,51910.34,36914024
2015-01-13,51868.28,52585.44,51868.28,52443.1,45075053
2015-01-14,52164.31,52170.06,51683.04,51910.3,43064568
2015-01-15,52110.74,52188.32,50557.2,50616.63,94141719
2015-01-16,50443.44,50647.36,49943.11,50300.33,54225355
2015-01-19,50399.96,50485.44,49931.45,50230.33,40503266
2015-01-20,50408.12,50622.25,50058.56,50058.56,41660572
2015-01-21,50185.61,50918.41,50153.72,50918.41,40633004
2015-01-22,51040.19,51555.28,51040.19,51484.81,42396746
2015-01-23,51590.01,51771.22,51541.05,51680.12,43643531
2015-01-26,51436.13,51546.55,51246.21,51516.62,39896825
2015-01-27,51607.12,51931.34,51365.77,51578.85,53095191
2015-01-28,51728.82,51865.09,51371.18,51706.19,55346561
2015-01-29,51746.94,52107.42,51619.07,52040.24,40836692
2015-01-30,52133.12,52205.74,51978.86,52102.39,39689785
2015-02-02,52197.7,52314.78,51595.99,51923.51,39933517
2015-02-03,52030.28,52170.01,51749.77,52030.36,44236001
2015-02-04,52063.83,52120.98,51831.13,52049.85,47433511
2015-02-05,52005.74,52107.26,51823.11,52107.26,40917515
2015-02-06,52179.51,52417.42,52121.13,52417.42,43300556
2015-02-09,52323.15,52361.17,52045.5,52137.58,29797366
2015-02-10,52166.8,52315.28,52106.99,52140.43,30835688
2015-02-11,52230.57,52242.69,51859.13,51893.79,54229810
2015-02-12,51989.99,52167.92,51887.45,52139.81,36577562
2015-02-13,52251.36,52368.83,52143.81,52368.83,43075305
2015-02-16,52428.1,52687.21,52422.22,52634.84,32573654
2015-02-17,52619.03,52742.79,52479.04,52641.26,41346992
2015-02-18,52794.08,52834.2,52462.79,52476.64,42747558
2015-02-19,52567.71,52665.67,52447.9,52572.95,33257648
2015-02-20,52600.08,52665.77,52491.12,52566.43,24524249
2015-02-23,52765.52,52911.87,52712.9,52911.87,34097325
2015-02-24,52896.45,52968.27,52620.83,52949.64,44245586
2015-02-25,53020.78,53067.38,52796.67,52871.46,44412535
2015-02-26,52834.71,53042.6,52740.34,53042.6,41225478
2015-02-27,53060.97,53304.77,52972.25,53304.21,53534821
2015-03-02,53392.85,53410.75,53186.86,53343.92,40441715
2015-03-03,53287.87,53344.77,52742.17,52742.17,41301969
2015-03-04,52777.66,53182.71,52499.33,53161.92,45442635
2015-03-05,53315.99,53588.79,53315.99,53546.4,61946716
2015-03-06,53620.89,53678.33,53290.38,53381.8,39730440
2015-03-09,53301.97,53592.26,53232.6,53415.93,30435330
2015-03-10,53402.16,53456.91,52828.61,52838.22,39564083
2015-03-11,52898.78,53041.44,52763.24,53041.44,40601553
2015-03-12,53200.17,53239.4,52937,53136.13,39914550
2015-03-13,53179.56,53179.56,52610.73,52740.67,39827589
2015-03-16,52819.27,52951.49,52724.2,52874.24,34723853
2015-03-17,52976.04,53305.38,52921,53197.78,35398628
2015-03-18,53244.16,53425.97,53213.64,53364.63,40204209
2015-03-19,53506.3,54148.48,53506.3,54148.48,47176273
2015-03-20,54201.37,54477.36,54115.24,54477.36,94138861
2015-03-23,54552.26,54564.54,54228.68,54564.54,30034652
